pl_hostname,hd_name,hip_name,pl_pnum,pl_letter
HD 69830,HD 69830,HIP 40693,3,b
HD 69830,HD 69830,HIP 40693,3,c
HD 69830,HD 69830,HIP 40693,3,d
HD 70642,HD 70642,HIP 40952,1,b
HIP 41378,,HIP 41378,5,f
HIP 41378,,HIP 41378,5,b
HIP 41378,,HIP 41378,5,d
HIP 41378,,HIP 41378,5,c
HIP 41378,,HIP 41378,5,e
omi UMa,HD 71369,HIP 41704,1,b
HD 72659,HD 72659,HIP 42030,1,b
HD 73267,HD 73267,HIP 42202,1,b
HD 73256,HD 73256,HIP 42214,1,b
HD 73526,HD 73526,HIP 42282,2,c
HD 73526,HD 73526,HIP 42282,2,b
HD 73534,HD 73534,HIP 42446,1,b
4 UMa,HD 73108,HIP 42527,1,b
HD 74156,HD 74156,HIP 42723,2,b
HD 74156,HD 74156,HIP 42723,2,c
HD 5319,HD 5319,HIP 4297,2,c
HD 5319,HD 5319,HIP 4297,2,b
HD 75289,HD 75289,HIP 43177,1,b
HD 75784,HD 75784,HIP 43569,1,b
55 Cnc,HD 75732,HIP 43587,5,d
55 Cnc,HD 75732,HIP 43587,5,c
55 Cnc,HD 75732,HIP 43587,5,e
55 Cnc,HD 75732,HIP 43587,5,b
55 Cnc,HD 75732,HIP 43587,5,f
HD 75898,HD 75898,HIP 43674,1,b
HD 76700,HD 76700,HIP 43686,1,b
GJ 328,,HIP 43790,1,b
HD 77338,HD 77338,HIP 44291,1,b
HD 79498,HD 79498,HIP 45406,1,b
HD 5608,HD 5608,HIP 4552,1,b
HD 80606,HD 80606,HIP 45982,1,b
HD 81040,HD 81040,HIP 46076,1,b
HD 81688,HD 81688,HIP 46471,1,b
HD 82943,HD 82943,HIP 47007,2,c
HD 82943,HD 82943,HIP 47007,2,b
HD 82886,HD 82886,HIP 47087,1,b
HD 5891,HD 5891,HIP 4715,1,b
HD 83443,HD 83443,HIP 47202,1,b
HD 85390,HD 85390,HIP 48235,1,b
HD 85512,HD 85512,HIP 48331,1,b
mu Leo,HD 85503,HIP 48455,1,b
HD 86081,HD 86081,HIP 48711,1,b
HD 86226,HD 86226,HIP 48739,1,b
HD 86264,HD 86264,HIP 48780,1,b
BD-08 2823,,HIP 49067,2,b
BD-08 2823,,HIP 49067,2,c
HD 87883,HD 87883,HIP 49699,1,b
HD 88133,HD 88133,HIP 49813,1,b
HD 89307,HD 89307,HIP 50473,1,b
HD 6434,HD 6434,HIP 5054,1,b
gam 1 Leo,HD 89484,HIP 50583 A,1,b
HD 89744,HD 89744,HIP 50786,1,b
24 Sex,HD 90043,HIP 50887,2,b
24 Sex,HD 90043,HIP 50887,2,c
HD 90156,HD 90156,HIP 50921,1,b
KELT-4 A,,HIP 51260 A,1,b
HIP 5158,,HIP 5158,2,c
HIP 5158,,HIP 5158,2,b
HD 142,HD 142,HIP 522,2,b
HD 142,HD 142,HIP 522,2,c
HD 92788,HD 92788,HIP 52409,1,b
HD 93083,HD 93083,HIP 52521,1,b
HD 6718,HD 6718,HIP 5301,1,b
HD 95086,HD 95086,HIP 53524,1,b
HD 95089,HD 95089,HIP 53666,1,b
47 UMa,HD 95128,HIP 53721,3,c
47 UMa,HD 95128,HIP 53721,3,d
47 UMa,HD 95128,HIP 53721,3,b
HD 95127,HD 95127,HIP 53733,1,b
HD 96063,HD 96063,HIP 54158,1,b
HD 96167,HD 96167,HIP 54195,1,b
HD 96127,HD 96127,HIP 54232,1,b
HD 97658,HD 97658,HIP 54906,1,b
HD 98219,HD 98219,HIP 55174,1,b
HD 7199,HD 7199,HIP 5529,1,b
HD 98649,HD 98649,HIP 55409,1,b
HD 99109,HD 99109,HIP 55664,1,b
HD 99492,HD 99492,HIP 55848,1,b
HD 99706,HD 99706,HIP 55994,1,b
HD 100546,HD 100546,HIP 56379,1,b
HD 100655,HD 100655,HIP 56508,1,b
GJ 433,,HIP 56528,1,b
HD 100777,HD 100777,HIP 56572,1,b
HIP 57050,,HIP 57050,1,b
GJ 436,,HIP 57087,1,b
HD 101930,HD 101930,HIP 57172,1,b
HIP 57274,,HIP 57274,3,d
HIP 57274,,HIP 57274,3,c
HIP 57274,,HIP 57274,3,b
HD 102117,HD 102117,HIP 57291,1,b
HD 102195,HD 102195,HIP 57370,1,b
HD 102272,HD 102272,HIP 57428,1,b
HD 102365,HD 102365,HIP 57443,1,b
HD 102329,HD 102329,HIP 57467,1,b
HD 102956,HD 102956,HIP 57820,1,b
HD 103197,HD 103197,HIP 57931,1,b
HD 7449,HD 7449,HIP 5806,1,b
HD 103720,HD 103720,HIP 58237,1,b
HD 103774,HD 103774,HIP 58263,1,b
HD 104067,HD 104067,HIP 58451,1,b
HD 104985,HD 104985,HIP 58952,1,b
HD 106252,HD 106252,HIP 59610,1,b
HD 106270,HD 106270,HIP 59625,1,b
HD 106515 A,HD 106515 A,HIP 59743 A,1,b
HD 106906,HD 106906,HIP 59960,1,b
HD 107148,HD 107148,HIP 60081,1,b
11 Com,HD 107383,HIP 60202,1,b
HD 108147,HD 108147,HIP 60644,1,b
HD 108341,HD 108341,HIP 60788,1,b
HD 108863,HD 108863,HIP 61020,1,b
HD 108874,HD 108874,HIP 61028,2,c
HD 108874,HD 108874,HIP 61028,2,b
HD 109246,HD 109246,HIP 61177,1,b
HD 109271,HD 109271,HIP 61300,2,b
HD 109271,HD 109271,HIP 61300,2,c
HD 109749,HD 109749,HIP 61595 A,1,b
HD 110014,HD 110014,HIP 61740,1,b
HD 111232,HD 111232,HIP 62534,1,b
HIP 63242,HD 112410,HIP 63242,1,b
Ross 458,,HIP 63510,1,c
HD 113337,HD 113337,HIP 63584,1,b
HD 7924,HD 7924,HIP 6379,3,c
HD 7924,HD 7924,HIP 6379,3,d
HD 7924,HD 7924,HIP 6379,3,b
HD 113538,HD 113538,HIP 63833,2,b
HD 113538,HD 113538,HIP 63833,2,c
HD 114386,HD 114386,HIP 64295,1,b
HD 114613,HD 114613,HIP 64408,1,b
HD 114762,HD 114762,HIP 64426,1,b
HD 114783,HD 114783,HIP 64457,1,b
HD 114729,HD 114729,HIP 64459,1,b
GJ 504,HD 115383,HIP 64792,1,b
61 Vir,HD 115617,HIP 64924,3,b
61 Vir,HD 115617,HIP 64924,3,c
61 Vir,HD 115617,HIP 64924,3,d
HD 8535,HD 8535,HIP 6511,1,b
HD 116029,HD 116029,HIP 65117,1,b
HIP 65407,,HIP 65407,2,b
HIP 65407,,HIP 65407,2,c
70 Vir,HD 117176,HIP 65721,1,b
HD 117207,HD 117207,HIP 65808,1,b
HIP 65891,HD 117253,HIP 65891,1,b
HD 117618,HD 117618,HIP 66047,1,b
HD 118203,HD 118203,HIP 66192,1,b
HD 8574,HD 8574,HIP 6643,1,b
HD 120084,HD 120084,HIP 66903,1,b
HD 8673,HD 8673,HIP 6702,1,b
tau Boo,HD 120136,HIP 67275,1,b
HIP 67851,HD 121056,HIP 67851,2,b
HIP 67851,HD 121056,HIP 67851,2,c
HD 121504,HD 121504,HIP 68162,1,b
HD 125612,HD 125612,HIP 70123,3,b
HD 125612,HD 125612,HIP 70123,3,c
HD 125612,HD 125612,HIP 70123,3,d
HD 125595,HD 125595,HIP 70170,1,b
HD 126614,HD 126614,HIP 70623,1,b
HIP 70849,,HIP 70849,1,b
HD 128311,HD 128311,HIP 71395,2,c
HD 128311,HD 128311,HIP 71395,2,b
HD 129445,HD 129445,HIP 72203,1,b
HD 130322,HD 130322,HIP 72339,1,b
HD 9446,HD 9446,HIP 7245,2,b
HD 9446,HD 9446,HIP 7245,2,c
bet UMi,HD 131873,HIP 72607,1,b
HD 131496,HD 131496,HIP 72845,1,b
HD 131399 A,HD 131399 A,HIP 72940 A,1,b
8 UMi,HD 133086,HIP 73136,1,b
